                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0202,                 3.5518,                 1.8664,                0.00827,                 0.5082,                0.19532,                0.08667,                 1.2828,                 3.2572,                 1.3164,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.1267,                 2.0798,                 1.1916,                 0.0108,                0.66393,                0.42073,                 0.2632,                 1.0306,                 3.0262,                 1.1408,             0.00041792,             0.00041792,             0.00041792
                      3,                 1.0855,                 1.7408,                 1.1456,                0.01033,                0.63525,                0.40136,                0.23497,                   1.06,                 3.0513,                 1.1409,             0.00063366,             0.00063366,             0.00063366
                      4,                0.99596,                 1.5148,                 1.0857,                  0.011,                0.67623,                0.35982,                  0.199,                 1.0936,                 3.0133,                 1.2475,             0.00084723,             0.00084723,             0.00084723
                      5,                 1.1272,                  1.478,                 1.1521,                0.71163,                0.12139,                0.29206,                0.16647,                 1.2025,                 3.0761,                 1.2495,              0.0010586,              0.0010586,              0.0010586
                      6,                  1.145,                 1.5719,                 1.1952,                 0.7731,                0.26533,                0.36263,                0.20702,                 1.2695,                 2.7958,                 1.4507,              0.0012678,              0.0012678,              0.0012678
                      7,                 1.1035,                 1.4647,                  1.166,                0.50838,                0.28279,                0.32631,                0.16818,                 1.3269,                  2.715,                 1.3775,              0.0014749,              0.0014749,              0.0014749
                      8,                 1.0707,                 1.3842,                 1.1373,                0.01336,                0.58197,                0.02978,                0.00985,                  2.026,                 3.1943,                 2.2615,              0.0016797,              0.0016797,              0.0016797
                      9,                 1.1664,                 1.3735,                 1.1873,                0.10161,                0.15574,                0.04825,                0.02341,                 1.9413,                 3.0093,                 1.9405,              0.0018824,              0.0018824,              0.0018824
                     10,                  1.195,                 1.3488,                  1.205,                0.20494,                0.30738,                0.14501,                0.07345,                 1.6459,                 2.5482,                 1.5418,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.1904,                 1.3048,                 1.2116,                0.43118,                0.31557,                0.26934,                0.15936,                 1.6606,                 2.4353,                 1.5073,               0.001901,               0.001901,               0.001901
                     12,                 1.1865,                 1.3503,                  1.238,                0.59067,                0.59016,                0.59233,                0.35383,                 1.3824,                 1.7013,                 1.4096,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.1386,                  1.277,                  1.192,                0.67569,                 0.4611,                0.52559,                0.32034,                 1.4779,                 1.8558,                 1.4521,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.1337,                 1.1975,                 1.1606,                0.62777,                0.41393,                  0.459,                0.26529,                 1.7535,                 1.7861,                 1.6953,              0.0018713,              0.0018713,              0.0018713
                     15,                  1.069,                 1.1417,                 1.1363,                0.58833,                0.57987,                0.57721,                0.30968,                 1.4462,                 1.6474,                 1.4252,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.0698,                 1.0564,                 1.1211,                0.71854,                0.59016,                0.66955,                 0.4278,                 1.2791,                 1.2922,                 1.3293,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.0691,                 1.0022,                 1.1273,                0.78816,                0.67094,                0.76215,                0.51007,                 1.1203,                 1.1214,                 1.1906,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.0637,                 1.0129,                 1.1267,                0.69341,                   0.75,                0.75353,                 0.4859,                 1.2064,                 1.1443,                 1.2388,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.0511,                 1.0447,                 1.1198,                0.71809,                0.77049,                0.77179,                0.49745,                 1.1797,                 1.0971,                 1.2325,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.0074,                0.95184,                 1.0712,                0.63646,                0.68443,                0.69378,                 0.4428,                 1.2257,                 1.2545,                 1.2604,              0.0018119,              0.0018119,              0.0018119
                     21,                0.98901,                0.92812,                  1.099,                0.71378,                0.72951,                 0.7331,                0.44517,                 1.2552,                  1.133,                 1.2479,               0.001802,               0.001802,               0.001802
                     22,                   1.05,                0.96522,                 1.1064,                 0.6705,                0.62295,                0.65168,                0.41154,                 1.2479,                  1.282,                 1.2577,              0.0017921,              0.0017921,              0.0017921
                     23,                0.96014,                0.91389,                 1.0872,                0.68776,                0.70413,                 0.7174,                0.47299,                 1.1093,                 1.1318,                 1.1939,              0.0017822,              0.0017822,              0.0017822
                     24,                0.98819,                0.87638,                 1.0934,                0.75605,                0.80328,                0.77885,                0.52251,                 1.0641,                 1.0514,                 1.1263,              0.0017723,              0.0017723,              0.0017723
                     25,                0.94149,                 0.8728,                 1.0846,                0.73543,                0.78689,                0.76845,                0.51199,                 1.1305,                 1.0507,                 1.1463,              0.0017624,              0.0017624,              0.0017624
                     26,                0.94565,                0.82875,                 1.0687,                0.79618,                0.84426,                0.80124,                0.54229,                 1.0909,                0.94445,                 1.1816,              0.0017525,              0.0017525,              0.0017525
                     27,                0.95428,                0.81879,                 1.0666,                 0.7364,                0.78689,                 0.7696,                0.53177,                 1.0729,                 0.9846,                 1.1328,              0.0017426,              0.0017426,              0.0017426
                     28,                 0.9337,                0.80714,                 1.0342,                0.76885,                0.82377,                  0.791,                0.53714,                 1.0616,                 1.0025,                  1.156,              0.0017327,              0.0017327,              0.0017327
                     29,                0.97009,                  0.809,                 1.0874,                0.79507,                0.76323,                0.80941,                0.54786,                  1.085,                 1.0254,                 1.1597,              0.0017228,              0.0017228,              0.0017228
                     30,                0.94435,                0.79137,                 1.0624,                0.78622,                 0.7623,                0.80756,                 0.5716,                 1.0205,                0.94493,                 1.1124,              0.0017129,              0.0017129,              0.0017129
                     31,                 0.9727,                  0.787,                 1.0969,                 0.7769,                   0.75,                0.80353,                0.55928,                  1.031,                0.95628,                 1.0929,               0.001703,               0.001703,               0.001703
                     32,                0.95095,                0.76259,                 1.0495,                0.79268,                0.84617,                0.82623,                0.57347,                 1.0229,                0.94237,                  1.093,              0.0016931,              0.0016931,              0.0016931
                     33,                0.93849,                0.74088,                 1.0686,                0.77753,                0.78689,                 0.7995,                 0.5741,                 1.0265,                0.94313,                 1.1241,              0.0016832,              0.0016832,              0.0016832
                     34,                0.92369,                 0.7728,                 1.0617,                0.71095,                0.80738,                0.73844,                0.48562,                 1.0676,                 1.0634,                 1.1378,              0.0016733,              0.0016733,              0.0016733
                     35,                0.90243,                0.77187,                 1.0519,                0.75412,                0.84216,                0.81791,                0.53687,                 1.0733,                0.94257,                 1.1292,              0.0016634,              0.0016634,              0.0016634
                     36,                0.87543,                0.72052,                 1.0475,                0.76926,                0.79248,                0.81689,                0.58144,                 1.0406,                0.91887,                 1.1192,              0.0016535,              0.0016535,              0.0016535
                     37,                0.87716,                 0.7111,                 1.0406,                0.77117,                0.84251,                0.82757,                0.57201,                 1.0483,                0.91275,                 1.1205,              0.0016436,              0.0016436,              0.0016436
                     38,                 0.9012,                 0.7382,                 1.0334,                0.79141,                0.82413,                0.81739,                 0.5528,                 1.0267,                 0.9516,                 1.1198,              0.0016337,              0.0016337,              0.0016337
                     39,                0.87773,                0.71154,                 1.0293,                0.78144,                0.79098,                 0.8339,                0.57647,                 1.0517,                0.90322,                 1.1427,              0.0016238,              0.0016238,              0.0016238
                     40,                0.88312,                0.72435,                 1.0333,                0.81067,                0.81148,                0.83407,                 0.5944,                 1.0101,                0.88609,                 1.1096,              0.0016139,              0.0016139,              0.0016139
                     41,                0.86601,                0.71485,                  1.021,                0.82739,                0.80547,                0.84027,                0.59599,                 1.0092,                0.82195,                 1.0942,               0.001604,               0.001604,               0.001604
                     42,                0.87593,                0.68883,                 1.0493,                0.81055,                0.82412,                0.84752,                0.57922,                 1.0518,                0.86745,                 1.1483,              0.0015941,              0.0015941,              0.0015941
                     43,                0.88009,                0.70967,                 1.0365,                0.87357,                0.82787,                0.86443,                0.61423,                0.99466,                0.78482,                 1.0858,              0.0015842,              0.0015842,              0.0015842
                     44,                0.87362,                0.69669,                 1.0433,                0.80963,                0.87705,                0.84456,                0.58903,                 1.0049,                0.81461,                  1.093,              0.0015743,              0.0015743,              0.0015743
                     45,                0.85499,                0.69727,                 1.0141,                0.74512,                0.81557,                0.80544,                0.57974,                 1.0067,                0.94796,                 1.1089,              0.0015644,              0.0015644,              0.0015644
                     46,                0.86028,                  0.703,                 1.0406,                0.75109,                0.86475,                0.84038,                 0.6086,                0.98042,                0.82179,                 1.0815,              0.0015545,              0.0015545,              0.0015545
                     47,                0.85766,                0.68345,                 1.0274,                0.82773,                0.84677,                0.85428,                0.61866,                0.95846,                0.84077,                 1.0834,              0.0015446,              0.0015446,              0.0015446
                     48,                  0.846,                0.69299,                 1.0162,                0.85738,                0.81148,                0.87251,                0.61826,                0.96978,                0.87321,                 1.1014,              0.0015347,              0.0015347,              0.0015347
                     49,                0.82899,                0.65988,                 1.0244,                0.85283,                0.79098,                0.84388,                0.60586,                0.98374,                0.86379,                 1.1255,              0.0015248,              0.0015248,              0.0015248
                     50,                 0.8194,                0.63169,                 1.0171,                0.83531,                0.85224,                0.85672,                0.60875,                0.97471,                0.86178,                 1.0955,              0.0015149,              0.0015149,              0.0015149
                     51,                0.82653,                0.65143,                 1.0064,                0.83786,                0.83197,                0.85126,                0.59411,                 1.0331,                0.81601,                 1.1044,               0.001505,               0.001505,               0.001505
                     52,                 0.8366,                0.63456,                 1.0035,                0.78011,                0.84331,                 0.8476,                0.57747,                   1.03,                 0.8543,                 1.1458,              0.0014951,              0.0014951,              0.0014951
                     53,                0.82437,                0.60937,                 1.0066,                0.83167,                0.83022,                0.85699,                0.59286,                 1.0102,                0.84225,                 1.1209,              0.0014852,              0.0014852,              0.0014852
                     54,                 0.8058,                 0.6183,                0.98999,                0.83998,                 0.8175,                0.85148,                0.60765,                0.93938,                0.80976,                 1.0522,              0.0014753,              0.0014753,              0.0014753
                     55,                0.82212,                0.64719,                 1.0183,                0.84577,                 0.7377,                0.81139,                0.58048,                0.98872,                0.88985,                 1.0937,              0.0014654,              0.0014654,              0.0014654
                     56,                0.82346,                0.61556,                 1.0045,                0.80761,                0.80862,                0.83682,                0.58355,                 1.0087,                0.89614,                 1.1055,              0.0014555,              0.0014555,              0.0014555
                     57,                0.84176,                0.62897,                 1.0035,                0.86407,                0.78158,                0.83713,                0.57776,                 0.9732,                0.85816,                 1.0921,              0.0014456,              0.0014456,              0.0014456
                     58,                0.80377,                0.60588,                 1.0123,                0.81437,                0.81148,                 0.7904,                0.56081,                0.97793,                0.88898,                 1.1099,              0.0014357,              0.0014357,              0.0014357
                     59,                0.81137,                0.59696,                0.98197,                0.79803,                0.87705,                0.84769,                0.58478,                 1.0419,                0.83007,                  1.121,              0.0014258,              0.0014258,              0.0014258
                     60,                0.80647,                0.60109,                0.99965,                0.81291,                0.85656,                0.84699,                0.59668,                0.99138,                0.87078,                 1.0852,              0.0014159,              0.0014159,              0.0014159
                     61,                0.81554,                0.61617,                 1.0012,                 0.7874,                0.80449,                0.80719,                0.57386,                 1.0427,                0.89252,                 1.1349,               0.001406,               0.001406,               0.001406
                     62,                0.81003,                0.60233,                0.99053,                0.81002,                0.83875,                0.84192,                0.62097,                0.97219,                0.82927,                 1.0945,              0.0013961,              0.0013961,              0.0013961
                     63,                0.77322,                0.56538,                0.98422,                 0.8249,                0.82377,                0.85852,                0.61072,                0.96927,                0.82365,                 1.0865,              0.0013862,              0.0013862,              0.0013862
                     64,                0.81982,                0.61368,                0.99397,                0.83372,                0.82199,                0.85324,                0.61225,                0.99181,                 0.8146,                 1.0864,              0.0013763,              0.0013763,              0.0013763
                     65,                0.78237,                0.57101,                0.98486,                0.87569,                0.77951,                0.84926,                0.61324,                0.97309,                0.81329,                 1.1001,              0.0013664,              0.0013664,              0.0013664
                     66,                 0.7755,                0.58608,                0.97383,                 0.8364,                0.81715,                0.85534,                0.60467,                0.97033,                0.84263,                 1.1079,              0.0013565,              0.0013565,              0.0013565
                     67,                0.78479,                0.58827,                 1.0131,                0.82274,                0.81148,                0.82975,                  0.612,                0.94703,                0.91629,                 1.1152,              0.0013466,              0.0013466,              0.0013466
                     68,                0.76806,                 0.5848,                0.98728,                0.82886,                0.79397,                0.81539,                0.58496,                0.98267,                 0.9351,                 1.0916,              0.0013367,              0.0013367,              0.0013367
                     69,                0.75916,                0.56589,                0.98761,                0.86183,                0.79249,                 0.8365,                0.59943,                0.95513,                0.85983,                 1.0841,              0.0013268,              0.0013268,              0.0013268
                     70,                0.70906,                0.54276,                0.96549,                0.84527,                0.84836,                0.85474,                0.60046,                 1.0079,                0.86505,                 1.1016,              0.0013169,              0.0013169,              0.0013169
                     71,                0.71436,                0.54871,                0.98485,                0.83207,                0.81227,                0.83003,                0.58277,                0.99148,                0.87293,                 1.0965,               0.001307,               0.001307,               0.001307
                     72,                0.74659,                0.56851,                0.96032,                0.83754,                0.87295,                0.85922,                0.60941,                0.91646,                0.76503,                 1.0484,              0.0012971,              0.0012971,              0.0012971
                     73,                0.75938,                0.54676,                0.97333,                0.81533,                0.86066,                0.87468,                0.62704,                0.92369,                0.73952,                 1.0591,              0.0012872,              0.0012872,              0.0012872
                     74,                0.72537,                0.54282,                 0.9625,                0.85728,                0.81242,                0.88035,                0.64102,                0.93284,                0.72891,                 1.0383,              0.0012773,              0.0012773,              0.0012773
                     75,                 0.7458,                 0.5593,                 0.9902,                0.81775,                0.84426,                0.86959,                0.64522,                0.90508,                0.76026,                 1.0342,              0.0012674,              0.0012674,              0.0012674
                     76,                0.74844,                0.54021,                0.98192,                0.79574,                0.79918,                0.84085,                0.59939,                0.97574,                0.88242,                 1.0879,              0.0012575,              0.0012575,              0.0012575
                     77,                0.76129,                0.55628,                0.98371,                0.83268,                0.79918,                0.84887,                0.61263,                0.96161,                0.85226,                 1.0883,              0.0012476,              0.0012476,              0.0012476
                     78,                0.75037,                0.55152,                0.95589,                0.81338,                0.78597,                0.82577,                0.59171,                0.96726,                0.88102,                 1.1095,              0.0012377,              0.0012377,              0.0012377
                     79,                0.70839,                0.55693,                  0.982,                 0.8313,                0.78279,                0.84346,                0.61022,                 0.9841,                0.81075,                 1.1239,              0.0012278,              0.0012278,              0.0012278
                     80,                0.71549,                0.52937,                0.95681,                0.82923,                0.81148,                0.85117,                0.63362,                0.94604,                0.79261,                 1.0831,              0.0012179,              0.0012179,              0.0012179
                     81,                0.72285,                  0.533,                0.96649,                0.84031,                0.81953,                0.84509,                0.62266,                0.94662,                0.81592,                  1.074,               0.001208,               0.001208,               0.001208
                     82,                0.72528,                0.53374,                0.95236,                0.80191,                0.82956,                0.83041,                0.61223,                0.97979,                0.89576,                 1.1171,              0.0011981,              0.0011981,              0.0011981
                     83,                0.71746,                0.54024,                0.95236,                0.82749,                0.82377,                0.82382,                0.60646,                 1.0177,                0.93396,                  1.154,              0.0011882,              0.0011882,              0.0011882
                     84,                0.71035,                 0.5363,                0.94284,                0.86435,                0.82787,                0.84468,                0.62408,                0.93218,                0.85487,                 1.0823,              0.0011783,              0.0011783,              0.0011783
                     85,                0.66558,                0.47829,                0.94269,                0.85398,                0.84836,                0.86371,                0.63336,                0.94846,                0.78003,                  1.057,              0.0011684,              0.0011684,              0.0011684
                     86,                 0.7246,                0.50139,                0.96696,                0.87333,                0.84016,                0.86772,                0.64327,                0.94301,                0.76268,                 1.0514,              0.0011585,              0.0011585,              0.0011585
                     87,                 0.7113,                0.50167,                0.95314,                0.85679,                0.82787,                0.85442,                 0.6286,                0.96007,                0.80505,                 1.0807,              0.0011486,              0.0011486,              0.0011486
                     88,                0.75467,                0.54302,                 0.9524,                 0.8502,                0.87295,                0.87449,                0.65005,                 0.9415,                0.69899,                 1.0635,              0.0011387,              0.0011387,              0.0011387
                     89,                0.72501,                0.50972,                0.95301,                0.88869,                0.87295,                0.89155,                 0.6591,                0.92126,                0.70372,                 1.0488,              0.0011288,              0.0011288,              0.0011288
                     90,                0.71224,                0.50282,                0.94211,                0.81816,                0.85656,                 0.8503,                0.62695,                0.93605,                0.82752,                 1.0688,              0.0011189,              0.0011189,              0.0011189
                     91,                0.71129,                0.50308,                0.94015,                0.89299,                0.84836,                0.87567,                0.65759,                0.91485,                0.74487,                 1.0412,               0.001109,               0.001109,               0.001109
                     92,                0.70819,                0.50245,                0.94741,                0.89395,                0.85246,                0.87241,                0.64892,                0.89411,                0.73458,                 1.0268,              0.0010991,              0.0010991,              0.0010991
                     93,                0.66903,                0.48328,                0.93147,                0.89811,                0.86697,                 0.8795,                0.64811,                0.91401,                0.75722,                 1.0341,              0.0010892,              0.0010892,              0.0010892
                     94,                0.69192,                 0.4925,                0.95496,                0.86243,                0.84426,                0.84951,                0.61302,                0.94395,                0.87781,                 1.0814,              0.0010793,              0.0010793,              0.0010793
                     95,                0.69273,                0.48016,                0.94494,                 0.8353,                0.84426,                 0.8567,                0.60713,                   1.02,                0.86677,                 1.1079,              0.0010694,              0.0010694,              0.0010694
                     96,                0.68529,                0.47623,                0.95815,                0.85106,                0.85246,                0.85712,                0.62804,                0.91463,                0.80838,                 1.0583,              0.0010595,              0.0010595,              0.0010595
                     97,                0.69434,                 0.4769,                0.92344,                0.83452,                0.87295,                0.85497,                0.63156,                0.92126,                0.80057,                 1.0662,              0.0010496,              0.0010496,              0.0010496
                     98,                0.67107,                0.48058,                0.94457,                0.86527,                0.84426,                0.86394,                 0.6343,                0.94102,                0.83746,                 1.0995,              0.0010397,              0.0010397,              0.0010397
                     99,                0.64414,                0.46184,                0.92947,                0.83548,                0.84426,                0.84361,                0.62772,                0.95116,                0.87024,                 1.1013,              0.0010298,              0.0010298,              0.0010298
